Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,102;0,102;0,10;0,10;14.317;1.432
2019-07-18;0,102;0,102;0,102;0,102;0;0
2019-07-17;0,103;0,103;0,102;0,102;5.000;510
2019-07-16;0,103;0,103;0,103;0,103;0;0
2019-07-15;0,103;0,103;0,103;0,103;0;0
2019-07-12;0,103;0,103;0,103;0,103;0;0
2019-07-11;0,102;0,103;0,102;0,103;2.097;216
2019-07-10;0,102;0,102;0,102;0,102;0;0
2019-07-09;0,102;0,102;0,102;0,102;0;0
2019-07-08;0,10;0,102;0,10;0,102;0;0
2019-07-05;0,10;0,10;0,10;0,10;0;0
2019-07-04;0,10;0,10;0,10;0,10;0;0
2019-07-03;0,1002;0,1002;0,1002;0,1002;0;0
2019-07-02;0,11;0,11;0,1002;0,1002;600;60
2019-07-01;0,11;0,11;0,1002;0,11;720;74
2019-06-28;0,11;0,11;0,10;0,11;6.386;639
2019-06-27;0,11;0,11;0,11;0,11;0;0
2019-06-26;0,126;0,126;0,11;0,11;30.000;3.380
2019-06-25;0,126;0,126;0,126;0,126;0;0
2019-06-24;0,126;0,126;0,126;0,126;0;0
2019-06-21;0,126;0,126;0,126;0,126;0;0
2019-06-20;0,126;0,126;0,126;0,126;0;0
2019-06-19;0,126;0,126;0,126;0,126;0;0
2019-06-18;0,126;0,126;0,126;0,126;0;0
2019-06-17;0,126;0,126;0,126;0,126;528;67
2019-06-14;0,126;0,126;0,126;0,126;528;67
2019-06-13;0,125;0,125;0,125;0,125;0;0
2019-06-12;0,126;0,126;0,125;0,125;99;12
2019-06-11;0,125;0,125;0,125;0,125;0;0
2019-06-07;0,13;0,13;0,13;0,13;0;0
2019-06-06;0,12;0,122;0,12;0,122;400;49
2019-06-05;0,14;0,14;0,14;0,14;0;0
2019-06-04;0,14;0,14;0,14;0,14;0;0
2019-06-03;0,14;0,14;0,14;0,14;0;0
2019-05-31;0,14;0,14;0,14;0,14;0;0
2019-05-30;0,14;0,14;0,14;0,14;0;0
2019-05-29;0,142;0,142;0,142;0,142;0;0
2019-05-28;0,142;0,142;0,142;0,142;0;0
2019-05-27;0,142;0,142;0,141;0,141;13.119;1.850
2019-05-24;0,142;0,142;0,142;0,142;0;0
2019-05-23;0,15;0,15;0,141;0,141;1.036;146
2019-05-22;0,15;0,15;0,15;0,15;0;0
2019-05-21;0,15;0,15;0,15;0,15;0;0
2019-05-20;0,15;0,15;0,15;0,15;0;0
2019-05-17;0,15;0,15;0,15;0,15;0;0
2019-05-16;0,145;0,145;0,141;0,141;6.946;979
2019-05-15;0,145;0,145;0,145;0,145;0;0
2019-05-14;0,145;0,145;0,145;0,145;0;0
2019-05-13;0,142;0,142;0,142;0,142;0;0
2019-05-10;0,142;0,148;0,142;0,148;5.000;740
2019-05-09;0,142;0,142;0,142;0,142;0;0
2019-05-08;0,142;0,142;0,142;0,142;0;0
2019-05-07;0,159;0,159;0,159;0,159;0;0
2019-05-06;0,142;0,159;0,142;0,159;9.000;1.431
2019-05-03;0,142;0,142;0,142;0,142;0;0
2019-05-02;0,158;0,158;0,158;0,158;0;0
2019-04-30;0,141;0,158;0,141;0,158;7.500;1.185
2019-04-29;0,141;0,157;0,141;0,157;10.000;1.510
2019-04-26;0,141;0,141;0,141;0,141;0;0
2019-04-25;0,141;0,141;0,141;0,141;0;0
2019-04-24;0,141;0,141;0,141;0,141;0;0
2019-04-23;0,141;0,141;0,141;0,141;0;0
2019-04-18;0,141;0,141;0,141;0,141;0;0
2019-04-17;0,141;0,141;0,141;0,141;0;0
2019-04-16;0,14;0,14;0,14;0,14;0;0
2019-04-15;0,14;0,14;0,14;0,14;0;0
2019-04-12;0,139;0,139;0,139;0,139;0;0
2019-04-11;0,139;0,139;0,139;0,139;0;0
2019-04-10;0,13;0,13;0,13;0,13;0;0
2019-04-09;0,165;0,165;0,13;0,13;30.000;3.900
2019-04-08;0,165;0,165;0,165;0,165;0;0
2019-04-05;0,165;0,165;0,165;0,165;0;0
2019-04-04;0,165;0,165;0,165;0,165;0;0
2019-04-03;0,165;0,165;0,165;0,165;0;0
2019-04-02;0,165;0,165;0,165;0,165;0;0
2019-04-01;0,165;0,165;0,165;0,165;0;0
2019-03-29;0,165;0,165;0,165;0,165;0;0
2019-03-28;0,135;0,165;0,135;0,165;1.750;284
2019-03-27;0,135;0,135;0,135;0,135;0;0
2019-03-26;0,135;0,135;0,135;0,135;0;0
2019-03-25;0,135;0,135;0,135;0,135;0;0
2019-03-21;0,135;0,135;0,135;0,135;0;0
2019-03-20;0,135;0,135;0,135;0,135;0;0
2019-03-19;0,135;0,135;0,135;0,135;0;0
2019-03-18;0,135;0,135;0,135;0,135;0;0
2019-03-15;0,135;0,135;0,135;0,135;0;0
2019-03-14;0,131;0,135;0,131;0,135;200;27
2019-03-13;0,131;0,131;0,131;0,131;0;0
2019-03-12;0,131;0,131;0,131;0,131;0;0
2019-03-11;0,131;0,131;0,131;0,131;790;103
2019-03-08;0,13;0,131;0,13;0,131;300;39
2019-03-07;0,13;0,13;0,13;0,13;0;0
2019-03-06;0,13;0,13;0,13;0,13;0;0
2019-03-05;0,13;0,13;0,13;0,13;0;0
2019-03-04;0,13;0,13;0,13;0,13;0;0
2019-03-01;0,13;0,13;0,13;0,13;0;0
2019-02-28;0,13;0,13;0,13;0,13;0;0
2019-02-27;0,13;0,13;0,13;0,13;0;0
2019-02-26;0,13;0,13;0,13;0,13;0;0
2019-02-25;0,13;0,13;0,13;0,13;0;0
2019-02-22;0,13;0,13;0,13;0,13;0;0
2019-02-21;0,13;0,13;0,13;0,13;0;0
2019-02-20;0,13;0,13;0,13;0,13;0;0
2019-02-19;0,13;0,13;0,13;0,13;0;0
2019-02-18;0,13;0,13;0,13;0,13;0;0
2019-02-15;0,13;0,13;0,13;0,13;0;0
2019-02-14;0,13;0,13;0,13;0,13;0;0
2019-02-13;0,13;0,13;0,13;0,13;0;0
2019-02-12;0,13;0,13;0,13;0,13;0;0
2019-02-11;0,14;0,14;0,13;0,13;10.500;1.365
2019-02-08;0,14;0,14;0,14;0,14;0;0
2019-02-07;0,14;0,14;0,14;0,14;0;0
2019-02-06;0,14;0,14;0,14;0,14;0;0
2019-02-05;0,112;0,14;0,112;0,14;685;96
2019-02-04;0,13;0,15;0,112;0,112;32.395;4.616
2019-02-01;0,138;0,14;0,13;0,13;26.650;3.701
2019-01-31;0,11;0,138;0,11;0,138;5.000;690
2019-01-30;0,11;0,11;0,11;0,11;0;0
2019-01-29;0,11;0,11;0,11;0,11;0;0
2019-01-28;0,11;0,11;0,11;0,11;0;0
2019-01-25;0,11;0,11;0,11;0,11;0;0
2019-01-24;0,11;0,11;0,11;0,11;0;0
2019-01-23;0,11;0,11;0,11;0,11;0;0
2019-01-22;0,11;0,11;0,11;0,11;0;0
2019-01-21;0,11;0,11;0,11;0,11;0;0
2019-01-18;0,11;0,11;0,11;0,11;0;0
2019-01-17;0,138;0,138;0,11;0,11;5.000;550
2019-01-16;0,138;0,138;0,138;0,138;0;0
2019-01-15;0,15;0,15;0,14;0,14;5.000;700
2019-01-14;0,15;0,15;0,15;0,15;0;0
2019-01-11;0,15;0,15;0,15;0,15;0;0
2019-01-10;0,15;0,15;0,15;0,15;0;0
2019-01-09;0,15;0,15;0,15;0,15;0;0
2019-01-08;0,15;0,15;0,15;0,15;0;0
2019-01-07;0,15;0,15;0,15;0,15;0;0
2019-01-04;0,15;0,15;0,15;0,15;0;0
2019-01-03;0,15;0,15;0,15;0,15;0;0
2019-01-02;0,15;0,15;0,15;0,15;550;83
2018-12-28;0,091;0,15;0,091;0,091;24.518;3.678
2018-12-27;0,11;0,11;0,091;0,091;15.000;1.415
2018-12-21;0,11;0,11;0,11;0,11;0;0
2018-12-20;0,11;0,11;0,11;0,11;0;0
2018-12-19;0,11;0,11;0,11;0,11;0;0
2018-12-18;0,11;0,11;0,11;0,11;0;0
2018-12-17;0,11;0,11;0,11;0,11;0;0
2018-12-14;0,11;0,11;0,11;0,11;5.000;550
2018-12-13;0,15;0,15;0,15;0,15;0;0
2018-12-12;0,15;0,15;0,15;0,15;0;0
2018-12-11;0,15;0,15;0,15;0,15;0;0
2018-12-10;0,14;0,15;0,13;0,15;25.000;3.650
2018-12-07;0,14;0,14;0,14;0,14;0;0
2018-12-06;0,14;0,14;0,14;0,14;0;0
2018-12-05;0,14;0,14;0,14;0,14;0;0
2018-12-04;0,14;0,14;0,14;0,14;0;0
2018-12-03;0,14;0,14;0,14;0,14;0;0
2018-11-30;0,14;0,14;0,14;0,14;3.000;420
2018-11-29;0,14;0,14;0,14;0,14;2.000;280
