Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-07-29;0,06;0,06;0,06;0,06;0;0
2015-07-28;0,06;0,06;0,06;0,06;0;0
2015-07-27;0,06;0,06;0,06;0,06;0;0
2015-07-24;0,053;0,053;0,053;0,053;0;0
2015-07-23;0,053;0,053;0,053;0,053;0;0
2015-07-22;0,053;0,053;0,053;0,053;0;0
2015-07-21;0,053;0,053;0,053;0,053;0;0
2015-07-20;0,051;0,051;0,051;0,051;0;0
2015-07-17;0,051;0,051;0,051;0,051;0;0
2015-07-16;0,05;0,05;0,05;0,05;0;0
2015-07-15;0,05;0,05;0,05;0,05;0;0
2015-07-14;0,05;0,05;0,05;0,05;0;0
2015-07-13;0,05;0,05;0,05;0,05;0;0
2015-07-10;0,06;0,06;0,06;0,06;0;0
2015-07-09;0,06;0,06;0,06;0,06;0;0
2015-07-08;0,06;0,06;0,06;0,06;0;0
2015-07-07;0,06;0,06;0,06;0,06;0;0
2015-07-06;0,05;0,05;0,05;0,05;0;0
2015-07-03;0,064;0,064;0,064;0,064;0;0
2015-07-02;0,064;0,064;0,064;0,064;0;0
2015-07-01;0,064;0,064;0,064;0,064;0;0
2015-06-30;0,064;0,064;0,064;0,064;0;0
2015-06-29;0,064;0,064;0,064;0,064;0;0
2015-06-26;0,064;0,064;0,064;0,064;0;0
2015-06-25;0,064;0,064;0,064;0,064;0;0
2015-06-24;0,064;0,064;0,064;0,064;0;0
2015-06-23;0,064;0,064;0,064;0,064;0;0
2015-06-22;0,064;0,064;0,064;0,064;0;0
2015-06-19;0,064;0,064;0,064;0,064;0;0
2015-06-18;0,064;0,064;0,064;0,064;0;0
2015-06-17;0,075;0,075;0,064;0,064;10;1
2015-06-16;0,075;0,075;0,075;0,075;0;0
2015-06-15;0,08;0,08;0,08;0,08;0;0
2015-06-12;0,08;0,08;0,08;0,08;0;0
2015-06-11;0,08;0,08;0,08;0,08;0;0
2015-06-10;0,08;0,08;0,08;0,08;0;0
2015-06-09;0,08;0,08;0,08;0,08;0;0
2015-06-08;0,08;0,08;0,08;0,08;0;0
2015-06-05;0,08;0,08;0,08;0,08;0;0
2015-06-04;0,08;0,08;0,08;0,08;0;0
2015-06-03;0,085;0,085;0,074;0,08;13.333;1.017
2015-06-02;0,095;0,095;0,095;0,095;0;0
2015-06-01;0,095;0,095;0,095;0,095;0;0
2015-05-29;0,095;0,095;0,095;0,095;0;0
2015-05-28;0,11;0,11;0,095;0,095;3.100;295
2015-05-27;0,11;0,11;0,11;0,11;600;66
2015-05-26;0,117;0,117;0,117;0,117;0;0
2015-05-22;0,119;0,119;0,119;0,119;0;0
2015-05-21;0,121;0,121;0,121;0,121;0;0
2015-05-20;0,105;0,121;0,105;0,121;1.500;182
2015-05-19;0,105;0,105;0,105;0,105;246;26
2015-05-18;0,14;0,14;0,14;0,14;0;0
2015-05-15;0,14;0,14;0,14;0,14;0;0
2015-05-14;0,14;0,14;0,14;0,14;0;0
2015-05-13;0,14;0,14;0,14;0,14;0;0
2015-05-12;0,14;0,14;0,14;0,14;0;0
2015-05-11;0,14;0,14;0,14;0,14;0;0
2015-05-08;0,14;0,14;0,14;0,14;0;0
2015-05-07;0,14;0,14;0,14;0,14;10.000;1.400
2015-05-06;0,145;0,145;0,14;0,14;15.000;2.100
2015-05-05;0,145;0,145;0,145;0,145;0;0
2015-05-04;0,145;0,145;0,145;0,145;0;0
2015-04-30;0,147;0,147;0,147;0,147;0;0
2015-04-29;0,147;0,147;0,147;0,147;0;0
2015-04-28;0,147;0,147;0,147;0,147;0;0
2015-04-27;0,147;0,147;0,147;0,147;0;0
2015-04-24;0,147;0,147;0,147;0,147;0;0
